"","ndist","rtimes1","rtimes75","rtimes50","rtimes25"
"1",0,0,0,0,0
"2",1,612.083414912114,702.412128694788,799.940474277115,912.334726260575
"3",2,696.727086103359,801.788379772359,902.916541254511,996.645081164799
"4",3,734.106507795035,842.634290849052,938.162738709253,1014.62549495186
"5",4,752.086921582093,860.814694408322,950.676765389167,1018.40663491182
"6",5,761.067795619585,869.128935871773,955.257864437983,1019.1879282886
"7",6,765.6488946684,872.976739089142,956.905780161015,1019.36925234874
"8",7,767.963442965474,874.757981326982,957.487083765579,1019.41724989407
"9",8,769.144715886676,875.539274703759,957.668407825719,1019.398584182
"10",9,769.726019491241,875.920588536112,957.783068628453,1019.37991846992
"11",10,770.040670066189,876.101912596251,957.76440291638,1019.42791601525
"12",11,770.221994126327,876.216573398986,957.812400461711,1019.40925030318
"13",12,770.269991671659,876.264570944317,957.793734749638,1019.39058459111
"14",13,770.31798921699,876.245905232244,957.775069037565,1019.43858213644
"15",14,770.365986762321,876.293902777575,957.823066582896,1019.41991642437
"16",15,770.347321050248,876.275237065502,957.804400870823,1019.40125071229
"17",16,770.395318595579,876.256571353429,957.78573515875,1019.38258500022
"18",17,770.376652883506,876.304568898759,957.833732704081,1019.43058254555
"19",18,770.357987171432,876.285903186686,957.815066992008,1019.41191683348
"20",19,770.339321459359,876.267237474613,957.796401279935,1019.3932511214
"21",20,770.38731900469,876.24857176254,957.777735567861,1019.44124866674
"22",21,770.368653292617,876.296569307871,957.825733113192,1019.42258295466
"23",22,770.349987580545,876.277903595797,957.80706740112,1019.40391724259
"24",23,770.397985125875,876.259237883725,957.788401689046,1019.38525153052
"25",24,770.379319413802,876.307235429056,957.836399234377,1019.43324907585
"26",25,770.427316959132,876.288569716982,957.817733522304,1019.41458336377
