"","t_since","n_dist","inverts","algae"
"1",10,1,0.604211941104185,0.18121908252771
"2",10,2,0.604211161754011,0.181219372940278
"3",10,3,0.604207255420454,0.181220828574372
"4",10,4,0.604206484288168,0.181221115924459
"5",10,5,0.604205230222912,0.181221583232451
"6",10,6,0.604204652205268,0.18122179862109
"7",10,7,0.60420397638374,0.181222050455498
"8",9,1,0.604183003261606,0.181229865858117
"9",9,2,0.604176096488226,0.181232439572374
"10",9,3,0.604177464076927,0.181231929957513
"11",9,4,0.604173253766175,0.181233498874873
"12",9,5,0.604160451742441,0.181238269373913
"13",9,6,0.604158597525847,0.181238960324827
"14",9,7,0.604152644020434,0.181241178822706
"15",8,1,0.604098575081151,0.181261327197891
"16",8,2,0.604080708992185,0.18126798485871
"17",8,3,0.604081005055398,0.181267874513895
"18",8,4,0.60406721416722,0.181273013597984
"19",8,5,0.604063452996326,0.181274415181205
"20",8,6,0.604035092359395,0.181284983555816
"21",8,7,0.604028224148015,0.181287542982178
"22",7,1,0.6038595778798,0.18135038928457
"23",7,2,0.60379750107445,0.181373522779947
"24",7,3,0.603798280578928,0.181373232119606
"25",7,4,0.6037006963982,0.181409598369818
"26",7,5,0.603776653297873,0.181381291876001
"27",7,6,0.60368329984637,0.181416081238639
"28",7,7,0.603597326185286,0.18144812060008
"29",6,1,0.603162786758321,0.181610066212593
"30",6,2,0.602943933525885,0.18169163413838
"31",6,3,0.602975261578085,0.181679958828659
"32",6,4,0.60295419901891,0.181687809017891
"33",6,5,0.602758323220171,0.181760815434619
"34",6,6,0.602721966773637,0.18177436547351
"35",6,7,0.60232987540997,0.181920507710862
"36",5,1,0.601139457448217,0.182364265669429
"37",5,2,0.601093315033225,0.182381467927708
"38",5,3,0.600089159271643,0.182755860590994
"39",5,4,0.599913648375025,0.182821320961809
"40",5,5,0.599855423399173,0.182843033901895
"41",5,6,0.599308520989787,0.183046943613918
"42",5,7,0.599166586208274,0.183099876018726
"43",4,1,0.595468369897254,0.184479380478789
"44",4,2,0.595025472639724,0.184644646794727
"45",4,3,0.5937654118854,0.18511489797183
"46",4,4,0.592116513270262,0.185730387525116
"47",4,5,0.592757878245895,0.185490979637912
"48",4,6,0.590266242864089,0.186421063072495
"49",4,7,0.590603016403473,0.186295352924647
"50",3,1,0.579457286749911,0.190461443673464
"51",3,2,0.57614892259603,0.191698874031046
"52",3,3,0.572478222684402,0.193072071906472
"53",3,4,0.574576160063941,0.192287079914702
"54",3,5,0.567958325799724,0.194763167654437
"55",3,6,0.567814293624446,0.194816780297379
"56",3,7,0.565812082784536,0.195566416400295
"57",2,1,0.536477231837511,0.206672881348987
"58",2,2,0.536276881943984,0.20674821669905
"59",2,3,0.529869056897635,0.209157725510097
"60",2,4,0.519857131844882,0.212924453998389
"61",2,5,0.516935683551487,0.214022792809754
"62",2,6,0.504088160670229,0.218855741174438
"63",2,7,0.495034985374886,0.222261911532278
"64",1,1,0.430172959502604,0.252609762295728
"65",1,2,0.416107691991,0.258182825981427
"66",1,3,0.404216875756037,0.262891841320591
"67",1,4,0.414191666602444,0.25894341840882
"68",1,5,0.368234462226707,0.277137798646906
"69",1,6,0.359429131995353,0.280599006868275
"70",1,7,0.369017744309805,0.276812804986864
"71",0,1,0.327509880161539,0.430443346397411
"72",0,2,0.301415907409548,0.449922110440918
"73",0,3,0.278664612627028,0.466514162053823
"74",0,4,0.278206481715471,0.466616326457711
"75",0,5,0.2286756310904,0.502773168673528
"76",0,6,0.262018586347802,0.478743139566644
"77",0,7,0.233191984485849,0.498688756776895
