"group","sp_code","total_biomass","scientific_name"
"epiSI","ANSP",357.41804969289,"Anthopleura spp."
"epiSI","CRGI",327.992242828832,"Crassadoma gigantea"
"epiSI","STMO",177.310952680753,"Styela montereyensis"
"epiSI","URLO",112.454180102512,"Urticina eques"
"epiSI","TC",102.57533075625,"Thalamoporella californica"
"epiSI","CUSP",69.5280093,"Cucumaria salma; Cucumaria miniata"
"epiSI","MUCA",56.5816882164864,"Muricea californica"
"epiSI","DIOR",48.3671192315,"Diopatra ornata"
"epiSI","EUPO",41.0314295127288,"Eudistylia polymorpha"
"epiSI","SE",36.16746985,"Thylacodes squamigerus"
"ua","CYOS",1314.35542700333,"Stephanocystis osmundacea"
"ua","CO",756.15,"Corallina officinalis"
"ua","EGME",586.766573666666,"Egregia menziesii"
"ua","NA",577.15,"Nienburgia andersoniana"
"ua","GS",542.8125,"Gracilaria spp."
"ua","PTCA",539.961857666667,"Pterygophora californica"
"ua","DL",424.125,"Desmarestia ligulata"
"ua","CC",344.3375,"Chondracanthus corymbiferus; Chondracanthus exasperatus"
"ua","R",312.625,"Rhodymenia californica"
"ua","EC",162.525,"crustose coralline algae spp."
